System.Id,System.AreaPath,Node Name,SM POC,AD POC,System.State,Microsoft.VSTS.Common.Severity,Custom.Application,System.Title
4363397,AutomationProcess_29697\mySPIntegratedSolutionPlatform\DevNinjas,DevNinjas,c.dhiman,madhuri.chintala,New,3 - Medium,Global,21 Feb |UAT_Myisp| PLD Cross Service |Drawer side panel component issues
4363451,AutomationProcess_29697\mySPIntegratedSolutionPlatform\GENAI-CDAT,GENAI-CDAT,murugan.ssubramanian,srinivasan.ks,Ready to Deploy,3 - Medium,Global,21 Feb | PT & UAT | CDAT | SSA | we are not getting file upload successfully validation message for all the Ingested documents
4363582,AutomationProcess_29697\myISP_DSP\Ninjawarriors,Ninjawarriors,murugan.ssubramanian,srinivasan.ks,Ready to Deploy,3 - Medium,Global,Feb 21st I UAT1 I DSP I Core Solution Plan>>Core Solution Detail>> Configured countries name is not showing in table & group view in PDF & PPT in Staffing/Headcount slide
4363690,AutomationProcess_29697\mySPIntegratedSolutionPlatform\Gen AI - Solution Review Agent,Gen AI - Solution Review Agent,murugan.ssubramanian,srinivasan.ks,Active,3 - Medium,Global,FEB 21 PT|SRA|Issues in excel file
4364079,AutomationProcess_29697\mySPVisionToValue\Everest,Everest,suresh.devarajan,srinivasan.sivakumar,Active,2 - High,Global,"Feb 21|UAT1 |Mob Cal |In Bottom Up ,weekly ramp is not loading when we used 40 Groups 40 waves, when each wave mapped to multiple groups with 1000 staffing records & 820 FTES"
4364146,AutomationProcess_29697\mySPRapidSolutioning\DevStormers,DevStormers,jayanth.kumar,madhuri.chintala,Ready to Deploy,3 - Medium,SI,21st Feb | UAT1 | SI DCTA | Negotiation contingency% field is saving with value greater than 100 in pricing input screen
4364184,AutomationProcess_29697\BackDoorGuardians,BackDoorGuardians,c.dhiman,madhuri.chintala,Active,3 - Medium,Global,"Feb 21 || UAT 1 || PLD || Clicking on View DFD request from Assigned Tab, After editing in DFD it is navigating to the Unassigned tab for Cross Service"
4364185,AutomationProcess_29697\mySPIntegratedSolutionPlatform\TechAvengers,TechAvengers,jayanth.kumar,madhuri.chintala,Ready to Deploy,3 - Medium,Global,"21 Feb | Stage & UAT 1 | SI | DCSO | All Solution IDs Are Replaced with New ID After Import Using ""Replace"" Option"
4364216,AutomationProcess_29697\mySPIntegratedSolutionPlatform\MYISP_Revamp_UI,MYISP_Revamp_UI,mahesh.kt,srinivasan.ks,Active,4 - Low,Global,Feb 21 | Stage/UAT | Value Shaping | User deleted Stratagic Objective and click on Opportunities/Opp workflow then getting incorrect toaster msg
4364228,AutomationProcess_29697\myISP_DSP\Pirates,Pirates,murugan.ssubramanian,srinivasan.ks,Active,4 - Low,Global,21st Feb| UAT1| DSP | Versions | Validation message is not displayed in DSP version grid when there is no solution version created for SI/AMS
4364347,AutomationProcess_29697\mySPIntegratedSolutionPlatform\Solution to Contract,Solution to Contract,murugan.ssubramanian,srinivasan.ks,Ready to Deploy,3 - Medium,Global,"21 Feb | PT & UAT | AMS, SI & IMS | For File upload nudge Thumbnail should be replaced with file name with hyperlink"
4364408,AutomationProcess_29697\myISP_DSP\Pirates,Pirates,murugan.ssubramanian,srinivasan.ks,Active,3 - Medium,Global,Suggestion_Feb 21_Prod_DSP_Opportunity timelines issues
4364611,AutomationProcess_29697\mySolutionPlanner Team - NextGen\Pacemakers,Pacemakers,c.dhiman,madhuri.chintala,Ready to Deploy,3 - Medium,Mycloud,FEB 21 | PLD | UAT1 | MMS ID is not listing in the grid for Cross Service Lead dashboard when changed FY filter
4364636,AutomationProcess_29697\mySPIntegratedSolutionPlatform\Forecasters,Forecasters,sankaran.viswanathan,madhuri.chintala,Ready to Deploy,4 - Low,Global,FEB 21| UAT 1 | WAWS | Technology | Archetype | Archetype Popup box is large which is not expected
4364648,AutomationProcess_29697\mySPIntegratedSolutionPlatform\GEN AI - Solution Super Agent,GEN AI - Solution Super Agent,murugan.ssubramanian,srinivasan.ks,Ready to Deploy,3 - Medium,Global,21st Feb | UAT1 | Gen AI | SSA | Edit box is Not dynamically resized by the system when editing lengthy prompts in the Question library.
4364905,AutomationProcess_29697\mySPRapidSolutioning\DevStormers,DevStormers,jayanth.kumar,madhuri.chintala,Active,4 - Low,SI,"21st Feb | SI | PT / UAT1 | Saving the data from Expense tab while switching the tab we are getting two ""Data saved successfully"" pop up in both the corners"
4364982,AutomationProcess_29697\mySPIntegratedSolutionPlatform\myISP_BPMS,myISP_BPMS,biju.balakrishnan,Rajsingh.rajput,Re-open,2 - High,Global,"Feb21st || UAT1 || BPMS OCP/DCTA- MDA DNP OCPA costs not matching with BDL, getting only one month data"
4364985,AutomationProcess_29697\mySPRapidSolutioning\Pacemakers,Pacemakers,c.dhiman,madhuri.chintala,Ready to Deploy,3 - Medium,Global,Feb 21 || UAT 1 || PLD || rows are getting added automatically when clicked on si tab and coming back again to ams tab in edit sa pop in cross service lead role.
4364987,AutomationProcess_29697\mySPIntegratedSolutionPlatform\GEN AI - Solution Super Agent,GEN AI - Solution Super Agent,murugan.ssubramanian,srinivasan.ks,Ready to Deploy,4 - Low,Global,"21st Feb | UAT1 | Gen AI | SSA | When we stop a response generation, chat name is showing as ""Untitled chat"" in chat history"
4365019,AutomationProcess_29697\mySPRapidSolutioning\TechWarriors,TechWarriors,sankaran.viswanathan,madhuri.chintala,Re-open,2 - High,Mycloud,Feb 21st | UAT | What Are We Solving For | Preliminary Assessment | if i select role as support SA song and navigate to WRWS page then role is not being picked up.
4365524,AutomationProcess_29697\myISP_DSP\Pixel Pioneers,Pixel Pioneers,murugan.ssubramanian,srinivasan.ks,Active,3 - Medium,Global,Feb 21st I UAT1 I DSP I Core Solution Plan>>Core Solution Detail>>For few sections data is going out of slide
4365756,AutomationProcess_29697\mySPIntegratedSolutionPlatform\Solution to Contract,Solution to Contract,murugan.ssubramanian,srinivasan.ks,New,4 - Low,Global,Suggestion |21st Feb | UAT1 | Gen AI | S2C | The select button is currently enabled by default in the technology pop-up. It should only be enabled after a technology has been selected.
4366022,AutomationProcess_29697\mySPRapidSolutioning\TechWarriors,TechWarriors,sankaran.viswanathan,madhuri.chintala,Active,2 - High,Global,Feb_PT | APG/APD Dashboard | Issues with APG APD dashboard
4366047,AutomationProcess_29697\mySPIntegratedSolutionPlatform\Solution to Contract,Solution to Contract,murugan.ssubramanian,srinivasan.ks,Ready to Deploy,3 - Medium,Global,21st Feb | UAT1 | Gen AI | S2C | Alerts and Reviewer Comments | Technology showing in the Alerts and Reviewer Comments tab without adding any comment as reviewer
4366050,AutomationProcess_29697\mySPIntegratedSolutionPlatform\Solution to Contract,Solution to Contract,murugan.ssubramanian,srinivasan.ks,Active,4 - Low,Global,21 Feb | PT & UAT | SI | S2C | For Few Nudges LHS content is getting replaced with placeholders in RHS definition
4366054,AutomationProcess_29697\myISP_DSP\Ninjawarriors,Ninjawarriors,murugan.ssubramanian,srinivasan.ks,Active,3 - Medium,Global,21 Feb | PT & UAT1 | DSP |Unable to navigate to Solution to Contracting Analysis tile from Deal level canvas for all SG's
4366135,AutomationProcess_29697\mySPIntegratedSolutionPlatform\QualityDataInsights\QualityDataInsights,QualityDataInsights,murugan.ssubramanian,srinivasan.ks,New,3 - Medium,Global,21st Feb | UAT1 | Gen AI | Learnings | SOS and ESOS pop-up are not displaying properly
4366138,AutomationProcess_29697\myISP_DSP\Pixel Pioneers,Pixel Pioneers,murugan.ssubramanian,srinivasan.ks,Ready to Deploy,3 - Medium,Global,Feb 21st I UAT1 I DSP I Core Solution Plan>>Core Solution Detail>>Data is not displaying in Effort Estimates>>ASSETS SAVING VIEW slide in PDF & PPT
4366398,AutomationProcess_29697\mySPVisionToValue\CrazyCoders,CrazyCoders,suresh.devarajan,srinivasan.sivakumar,Active,2 - High,Global,21st Feb| Stage& UAT| Automation Calculator| In Sync pop-up under cost bucket check and uncheck functionality is not working for costing for costing levers
4366469,AutomationProcess_29697\mySPRapidSolutioning\agentcrafters,agentcrafters,krishnaveni.ayyappan,krishnaveni.ayyappan,Active,3 - Medium,Global,21 Feb | AI Foundry | Feb PT | Other Cost operation failed even though other cost is not given in the prompt
4366532,AutomationProcess_29697\mySPIntegratedSolutionPlatform\GEN AI - Solution Super Agent,GEN AI - Solution Super Agent,murugan.ssubramanian,srinivasan.ks,Active,2 - High,Global,FEB PT And UAT || [Gen AI - SSA] || Single Agent Query Inside Module With @ Selection for LPS Is not working as expected
4366557,AutomationProcess_29697\mySPIntegratedSolutionPlatform\QualityDataInsights,QualityDataInsights,murugan.ssubramanian,srinivasan.ks,New,3 - Medium,AO,"Feb 21 | myISP UAT | Chrome/Edge | Windows | 1280*800 | QDI | In Generated Learning, Industry Segment–Client Type value is missing in ""What happened"" variations."
4366682,AutomationProcess_29697\mySPIntegratedSolutionPlatform\Solution to Contract,Solution to Contract,murugan.ssubramanian,srinivasan.ks,New,3 - Medium,Global,21st Feb | UAT1 | Gen AI | S2C | Alerts and Reviewer Comments | Nudges having alerts not showing reviewer comments in Alerts and Reviewer Comments tab
4367003,AutomationProcess_29697\mySPIntegratedSolutionPlatform\Pacemakers,Pacemakers,c.dhiman,madhuri.chintala,Re-open,3 - Medium,Global,21 Feb | PLD | Unassigned | After assignment deal flowing in unassigned grid.
4367080,AutomationProcess_29697\mySPIntegratedSolutionPlatform\myISP_BPMS\Goofy,Goofy,biju.balakrishnan,Rajsingh.rajput,Active,3 - Medium,Global,FY26[myISP-BPMS] | Intelligent PTP | Pre-Go live Seat Cost is not matching | Model Deletion.
4367190,AutomationProcess_29697\mySPIntegratedSolutionPlatform\TechAvengers,TechAvengers,jayanth.kumar,madhuri.chintala,Ready to Deploy,3 - Medium,Global,"21st Feb | UAT1 | UI_Revamp | Version | After clicking Preference and navigating back, then clicking on lock and edit, the version screen appears in read-only mode."
4367248,AutomationProcess_29697\mySPIntegratedSolutionPlatform\TechAvengers,TechAvengers,jayanth.kumar,madhuri.chintala,Active,3 - Medium,Global,"21st Feb | UAT1 | UI_Revamp | Version | After refreshing the screen, the preference settings icon (Eye) becomes unresponsive."
4367252,AutomationProcess_29697\mySPRapidSolutioning\TechCoders,TechCoders,vishnupriya.aluru,srinivasan.ks,Active,2 - High,Global,PT Env _  Import LBS file getting failed and LBS record getting Vanished after importing File.
4367253,AutomationProcess_29697\mySPRapidSolutioning\DevStormers,DevStormers,jayanth.kumar,madhuri.chintala,Ready to Deploy,2 - High,SI,21st Feb | PT/UAT1 | SI DCTA | Existing values are retaining for Fixed values in expense tab after switching from % of price to fixed value and vice versa for deal wide and release wise Pricing method
4367324,AutomationProcess_29697\mySPRapidSolutioning\TechCoders,TechCoders,vishnupriya.aluru,srinivasan.ks,Active,2 - High,Global,"PT Env _  Import Costing getting failed even Currency ""USD"" is there in other Cost UI."
4367335,AutomationProcess_29697\mySPRapidSolutioning\TechWarriors,TechWarriors,sankaran.viswanathan,madhuri.chintala,Active,4 - Low,Mycloud,"Feb 21 | BPMS | UAT | Warning! popup is showing after selecting the check box ""Don't show me again""."
4367347,AutomationProcess_29697\mySPRapidSolutioning\Insurgents,Insurgents,vishnupriya.aluru,srinivasan.ks,Re-open,2 - High,SI,21st Feb | UAT1 | SI OCP/DCTA | Pyramid values are not matching with manual calculation in OCP & DCTA KDA and graph view report and Staffing configured profile is not coming in pyramid
4367358,AutomationProcess_29697\mySPRapidSolutioning\CodingCrusaders,CodingCrusaders,vishnupriya.aluru,srinivasan.ks,Active,3 - Medium,Global,UAT 1| Feb 21st| MSDA| In Headcount/Pyramid> IMS FTE Deal Pivot>Transition FTE & All Phases- data is not loading completely
4367361,AutomationProcess_29697\mySPIntegratedSolutionPlatform\myISP_BPMS,myISP_BPMS,biju.balakrishnan,Rajsingh.rajput,Active,2 - High,Mycloud,Feb21st || UAT1 || MDA- BPMS MMP DCTA: HC/PY mismatch issues in Average FTE and SD/KT toggles
